date,calories_burned,steps,distance,floors,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories,workout
03/05/2017,"2,476","8,457",6.39,0,"1,245",163,5,27,"1,021",crossfit
04/05/2017,"2,385","7,345",5.55,0,"1,187",129,11,30,900,crossfit
05/05/2017,"2,487","8,367",6.47,0,"1,241",161,14,24,"1,036",crossfit
06/05/2017,"2,464","9,792",7.39,0,"1,211",229,0,0,"1,046",none
07/05/2017,"3,135","20,026",15.12,0,"1,096",178,65,101,"1,852",none
08/05/2017,"2,515","8,481",6.45,0,"1,221",172,21,26,"1,088",crossfit
09/05/2017,"2,421","8,899",6.72,0,"1,317",77,16,30,691,crossfit
10/05/2017,"2,578","11,353",8.57,0,"1,331",89,0,20,574,crossfit
11/05/2017,"2,545","10,271",7.75,0,"1,239",137,19,45,"1,096",crossfit
12/05/2017,"2,274","7,519",5.68,0,"1,278",140,10,12,780,none
13/05/2017,"2,132","5,529",4.16,0,"1,306",122,5,7,604,none
14/05/2017,"3,240","21,129",16.02,0,"1,083",216,34,107,"1,970",none
15/05/2017,"2,310","6,938",5.24,0,"1,304",88,15,33,786,crossfit
16/05/2017,"2,436","7,742",5.85,0,"1,260",137,9,34,963,crossfit
17/05/2017,"2,588","9,824",7.42,0,"1,200",198,11,31,"1,186",crossfit
18/05/2017,"2,461","8,620",6.51,0,"1,250",149,11,30,"1,000",crossfit
19/05/2017,"2,434","8,078",6.1,0,"1,256",118,28,38,966,crossfit
20/05/2017,"2,941","17,429",13.16,0,"1,148",169,41,82,"1,595",none
21/05/2017,"2,238","6,769",5.11,0,"1,273",139,11,17,747,none
22/05/2017,"2,445","8,250",6.23,0,"1,249",136,22,33,985,crossfit
23/05/2017,"2,385","7,593",5.79,0,"1,272",113,21,34,898,crossfit
24/05/2017,"2,317","7,739",5.9,0,"1,370",44,6,20,454,crossfit
25/05/2017,"2,310","8,214",6.2,0,"1,420",0,0,20,188,crossfit
26/05/2017,"2,228","7,152",5.4,0,"1,420",0,0,20,188,crossfit
27/05/2017,"2,974","18,177",13.72,0,"1,440",0,0,0,0,none
28/05/2017,"2,382","8,673",6.55,0,"1,109",178,33,6,952,none
29/05/2017,"1,684",0,0,0,"1,440",0,0,0,0,none
30/05/2017,"2,469","8,651",6.53,0,"1,250",144,12,34,"1,004",crossfit
31/05/2017,"2,175","6,006",4.53,0,"1,298",120,9,13,656,none
01/06/2017,"2,341","7,100",5.36,0,"1,294",112,7,27,826,crossfit
02/06/2017,"2,540","11,042",8.34,0,"1,419",1,0,20,191,crossfit
03/06/2017,"2,356","8,911",6.9,0,"1,440",0,0,0,0,none
04/06/2017,"2,748","14,407",10.88,0,"1,361",6,0,0,21,none
05/06/2017,"2,423","7,968",6.02,0,"1,257",134,14,35,954,crossfit
06/06/2017,"2,376","7,267",5.54,0,"1,279",106,17,38,881,crossfit
07/06/2017,"2,453","8,137",6.14,0,"1,244",154,6,36,999,crossfit
08/06/2017,"2,251","5,440",4.11,0,"1,258",151,11,20,780,crossfit
09/06/2017,"2,326","7,822",5.91,0,"1,252",178,4,6,862,none
10/06/2017,"2,586","11,621",8.82,0,"1,440",0,0,0,0,none
11/06/2017,"2,463","9,918",7.49,0,"1,440",0,0,0,0,none
